 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  31. 7.2019    Time:  14:44:26
 Units: L = cm   , T = sec  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.1000  0.00000E+00  0.00000E+00  0.63906E-08  0.00000E+00 -0.64571E-05  0.00000E+00  0.00000E+00  0.63906E-09  0.00000E+00 -0.64571E-06 -0.11194E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.63906E-09      1  0.00000E+00      0.000
       0.2000  0.00000E+00  0.00000E+00  0.94486E-08  0.00000E+00 -0.65434E-05  0.00000E+00  0.00000E+00  0.15839E-08  0.00000E+00 -0.13000E-05 -0.98284E+00  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.15839E-08      2  0.00000E+00      0.000
       0.3300  0.00000E+00  0.00000E+00  0.72557E-08  0.00000E+00 -0.64777E-05  0.00000E+00  0.00000E+00  0.25272E-08  0.00000E+00 -0.21422E-05 -0.12722E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.25272E-08      3  0.00000E+00      0.000
       0.4990  0.00000E+00  0.00000E+00  0.31685E-08  0.00000E+00 -0.64715E-05  0.00000E+00  0.00000E+00  0.30626E-08  0.00000E+00 -0.32358E-05 -0.13297E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.30626E-08      4  0.00000E+00      0.000
       0.7187  0.00000E+00  0.00000E+00 -0.40911E-08  0.00000E+00 -0.64399E-05  0.00000E+00  0.00000E+00  0.21638E-08  0.00000E+00 -0.46507E-05 -0.15470E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.30626E-08      5  0.00000E+00      0.000
       1.0043  0.00000E+00  0.00000E+00  0.11823E-09  0.00000E+00 -0.64160E-05  0.00000E+00  0.00000E+00  0.21976E-08  0.00000E+00 -0.64831E-05 -0.17128E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.30964E-08      6  0.00000E+00      0.000
       1.3756  0.00000E+00  0.00000E+00 -0.12068E-09  0.00000E+00 -0.63862E-05  0.00000E+00  0.00000E+00  0.21528E-08  0.00000E+00 -0.88543E-05 -0.19247E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.30964E-08      7  0.00000E+00      0.000
       1.8583  0.00000E+00  0.00000E+00  0.59259E-09  0.00000E+00 -0.63563E-05  0.00000E+00  0.00000E+00  0.24388E-08  0.00000E+00 -0.11922E-04 -0.21350E+01  0.00000E+00 -0.40856E+02  0.00000E+00  0.00000E+00  0.13908E+01  0.00000E+00  0.33824E-08      8  0.00000E+00      0.000
