Date	Time	Step	Mass (g)	Uair (kPa)
7/24/2019	9:20:52 AM	small increment	0.00	4
7/24/2019	9:21:32 AM	small increment	0.02	4
7/24/2019	9:22:22 AM	small increment	0.03	4
7/24/2019	9:23:12 AM	small increment	0.04	4
7/24/2019	9:24:02 AM	small increment	0.05	4
7/24/2019	9:24:52 AM	small increment	0.06	4
7/24/2019	9:25:43 AM	small increment	0.07	4
7/24/2019	9:26:33 AM	small increment	0.07	4
7/24/2019	9:27:23 AM	small increment	0.08	4
7/24/2019	9:28:13 AM	small increment	0.09	4
7/24/2019	9:29:03 AM	small increment	0.10	4
7/24/2019	9:29:53 AM	small increment	0.11	4
7/24/2019	9:30:43 AM	small increment	0.12	4
7/24/2019	9:31:33 AM	small increment	0.13	4
7/24/2019	9:32:23 AM	small increment	0.14	4
7/24/2019	9:33:13 AM	small increment	0.14	4
7/24/2019	9:34:03 AM	small increment	0.15	4
7/24/2019	9:34:53 AM	small increment	0.16	4
7/24/2019	9:35:44 AM	small increment	0.17	4
7/24/2019	9:36:34 AM	small increment	0.18	4
7/24/2019	9:37:24 AM	small increment	0.19	4
7/24/2019	9:39:04 AM	small increment	0.20	4
7/24/2019	9:40:44 AM	small increment	0.22	4
7/24/2019	9:42:24 AM	small increment	0.24	4
7/24/2019	9:44:04 AM	small increment	0.25	4
7/24/2019	9:45:44 AM	small increment	0.27	4
7/24/2019	9:47:24 AM	small increment	0.28	4
7/24/2019	9:49:05 AM	small increment	0.30	4
7/24/2019	9:50:45 AM	small increment	0.31	4
7/24/2019	9:52:25 AM	small increment	0.34	4
7/24/2019	9:54:05 AM	small increment	0.35	4
7/24/2019	9:57:25 AM	small increment	0.38	4
7/24/2019	10:00:46 AM	small increment	0.40	4
7/24/2019	10:04:06 AM	small increment	0.43	4
7/24/2019	10:07:26 AM	small increment	0.46	4
7/24/2019	10:10:47 AM	small increment	0.48	4
7/24/2019	10:14:07 AM	small increment	0.50	4
7/24/2019	10:17:27 AM	small increment	0.53	4
7/24/2019	10:20:48 AM	small increment	0.55	4
7/24/2019	10:24:08 AM	small increment	0.57	4
7/24/2019	10:27:28 AM	small increment	0.59	4
7/24/2019	10:30:48 AM	small increment	0.60	4
7/24/2019	10:34:09 AM	small increment	0.62	4
7/24/2019	10:37:29 AM	small increment	0.64	4
7/24/2019	10:40:49 AM	small increment	0.65	4
7/24/2019	10:44:09 AM	small increment	0.67	4
7/24/2019	10:47:30 AM	small increment	0.68	4
7/24/2019	10:50:50 AM	small increment	0.70	4
7/24/2019	10:54:10 AM	small increment	0.71	4
7/24/2019	10:57:31 AM	small increment	0.73	4
7/24/2019	11:00:51 AM	small increment	0.74	4
7/24/2019	11:04:11 AM	small increment	0.75	4
7/24/2019	11:07:31 AM	small increment	0.76	4
7/24/2019	11:10:52 AM	small increment	0.77	4
7/24/2019	11:14:12 AM	small increment	0.78	4
7/24/2019	11:17:32 AM	small increment	0.78	4
7/24/2019	11:25:53 AM	small increment	0.80	4
7/24/2019	11:34:14 AM	small increment	0.82	4
7/24/2019	11:42:34 AM	small increment	0.83	4
7/24/2019	11:50:55 AM	small increment	0.84	4
7/24/2019	11:59:16 AM	small increment	0.86	4
7/24/2019	12:07:36 PM	small increment	0.87	4
7/24/2019	12:15:57 PM	small increment	0.87	4
7/24/2019	12:24:18 PM	small increment	0.88	4
7/24/2019	12:32:38 PM	small increment	0.88	4
7/24/2019	12:40:59 PM	small increment	0.89	4
7/24/2019	12:49:20 PM	small increment	0.89	4
7/24/2019	12:57:41 PM	small increment	0.89	4
7/24/2019	1:06:01 PM	small increment	0.90	4
7/24/2019	1:14:22 PM	small increment	0.91	4
7/24/2019	1:22:43 PM	small increment	0.91	4
7/24/2019	1:31:03 PM	small increment	0.90	4
7/24/2019	1:39:24 PM	small increment	0.90	4
7/24/2019	1:47:45 PM	small increment	0.90	4
7/24/2019	1:56:06 PM	small increment	0.90	4
7/24/2019	2:04:26 PM	small increment	0.91	4
7/24/2019	2:12:47 PM	small increment	0.91	4
7/24/2019	2:24:08 PM	small increment	0.91	4
7/24/2019	2:25:03 PM	Large increment	1.07	290
7/24/2019	2:25:53 PM	Large increment	1.72	290
7/24/2019	2:26:43 PM	Large increment	2.37	290
7/24/2019	2:27:34 PM	Large increment	3.01	290
7/24/2019	2:28:24 PM	Large increment	3.67	290
7/24/2019	2:29:14 PM	Large increment	4.30	290
7/24/2019	2:30:04 PM	Large increment	4.94	290
7/24/2019	2:31:09 PM	Large increment	5.72	290
7/24/2019	2:32:24 PM	Large increment	6.64	290
7/24/2019	2:33:59 PM	Large increment	7.74	290
7/24/2019	2:36:19 PM	Large increment	9.25	290
7/24/2019	2:38:50 PM	Large increment	10.63	290
7/24/2019	2:41:20 PM	Large increment	11.75	290
