 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Esperance                                                             *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 25
 No. of observations.................(NOBb)............. 195


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.120
 Saturated moisture content..........(WCS)............     0.375
 First coefficient...................(ALPHA)..........     0.036
 Second coefficient..................(N)..............     1.560
 Saturated conductivity..............(CONDS).......... .1000E-04
 Pore connectivity factor............(L)..............     0.500


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.070
 Saturated moisture content..........(WCS)............     0.340
 First coefficient...................(ALPHA)..........     0.000
 Second coefficient..................(N)..............     7.000
 Saturated conductivity..............(CONDS).......... .5800E-07
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     40.000  0.000E+00       0     2      0.243625
     2     80.000 -0.597E-03       0     2      0.243625
     3    130.000 -0.896E-03       0     2      0.243625
     4    180.000 -0.119E-02       0     2      0.243625
     5    230.000 -0.149E-02       0     2      0.243625
     6    280.000 -0.179E-02       0     2      0.243625
     7    331.000 -0.209E-02       0     2      0.243625
     8    381.000 -0.209E-02       0     2      0.243625
     9    431.000 -0.239E-02       0     2      0.243625
    10    481.000 -0.269E-02       0     2      0.243625
    11    531.000 -0.299E-02       0     2      0.243625
    12    581.000 -0.328E-02       0     2      0.243625
    13    631.000 -0.358E-02       0     2      0.243625
    14    681.000 -0.388E-02       0     2      0.243625
    15    731.000 -0.418E-02       0     2      0.243625
    16    781.000 -0.418E-02       0     2      0.243625
    17    831.000 -0.448E-02       0     2      0.243625
    18    881.000 -0.478E-02       0     2      0.243625
    19    932.000 -0.507E-02       0     2      0.243625
    20    982.000 -0.537E-02       0     2      0.243625
    21   1032.000 -0.567E-02       0     2      0.243625
    22   1132.000 -0.597E-02       0     2      0.243625
    23   1232.000 -0.657E-02       0     2      0.243625
    24   1332.000 -0.716E-02       0     2      0.243625
    25   1432.000 -0.746E-02       0     2      0.243625
    26   1532.000 -0.806E-02       0     2      0.243625
    27   1632.000 -0.836E-02       0     2      0.243625
    28   1733.000 -0.896E-02       0     2      0.243625
    29   1833.000 -0.925E-02       0     2      0.243625
    30   1933.000     -0.010       0     2      0.243625
    31   2033.000     -0.010       0     2      0.243625
    32   2233.000     -0.011       0     2      0.243625
    33   2434.000     -0.012       0     2      0.243625
    34   2634.000     -0.013       0     2      0.243625
    35   2834.000     -0.014       0     2      0.243625
    36   3035.000     -0.014       0     2      0.243625
    37   3235.000     -0.015       0     2      0.243625
    38   3435.000     -0.016       0     2      0.243625
    39   3636.000     -0.016       0     2      0.243625
    40   3836.000     -0.017       0     2      0.243625
    41   4036.000     -0.018       0     2      0.243625
    42   4236.000     -0.018       0     2      0.243625
    43   4437.000     -0.019       0     2      0.243625
    44   4637.000     -0.019       0     2      0.243625
    45   4837.000     -0.019       0     2      0.243625
    46   5037.000     -0.020       0     2      0.243625
    47   5238.000     -0.020       0     2      0.243625
    48   5438.000     -0.021       0     2      0.243625
    49   5638.000     -0.021       0     2      0.243625
