 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  31. 7.2019    Time:  14:44:26
 Units: L = cm   , T = sec  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E+00  0.10000E+00    2        2    -4     3     T
        2  0.2000000E+00  0.10000E+00    2        4    -4     3     T
        3  0.3300000E+00  0.13000E+00    2        6    -4     3     T
        4  0.4990000E+00  0.16900E+00    2        8    -4     3     T
        5  0.7187000E+00  0.21970E+00    2       10    -4     3     T
        6  0.1004310E+01  0.28561E+00    2       12    -4     3     T
        7  0.1375603E+01  0.37129E+00    2       14    -4     3     T
        8  0.1858284E+01  0.48268E+00    2       16    -4     3     T
        9  0.2485769E+01  0.62749E+00    2       18    -4     3     T
       10  0.3301499E+01  0.81573E+00    2       20    -4     3     T
       11  0.4361949E+01  0.10604E+01    2       22    -4     3     T
       12  0.5740533E+01  0.13786E+01    2       24    -4     3     T
       13  0.7532693E+01  0.17922E+01    2       26    -4     3     T
       14  0.9862500E+01  0.23298E+01    2       28    -4     3     T
       15  0.1287625E+02  0.30137E+01    2       30    -4     3     T
       16  0.1675107E+02  0.38748E+01    2       32    -4     3     T
       17  0.2140086E+02  0.46498E+01    2       34    -4     3     T
       18  0.2760057E+02  0.61997E+01    2       36    -4     3     T
       19  0.4000000E+02  0.12399E+02    2       38    -4     3     T
       20  0.5000000E+02  0.10000E+02    2       40    -4     3     T
       21  0.6500000E+02  0.15000E+02    2       42    -4     3     T
       22  0.8000000E+02  0.15000E+02    2       44    -4     3     T
       23  0.9666667E+02  0.16667E+02    2       46    -4     3     T
       24  0.1300000E+03  0.33333E+02    2       48    -4     3     T
       25  0.1550000E+03  0.25000E+02    2       50    -4     3     T
       26  0.1800000E+03  0.25000E+02    2       52    -4     3     T
       27  0.2300000E+03  0.50000E+02    2       54    -4     3     T
       28  0.2800000E+03  0.50000E+02    2       56    -4     3     T
       29  0.3310000E+03  0.51000E+02    2       58    -4     3     T
       30  0.3810000E+03  0.50000E+02    2       60    -4     3     T
       31  0.4310000E+03  0.50000E+02    2       62    -4     3     T
       32  0.4810000E+03  0.50000E+02    2       64    -4     3     T
       33  0.5310000E+03  0.50000E+02    2       66    -4     3     T
       34  0.5810000E+03  0.50000E+02    2       68    -4     3     T
       35  0.6310000E+03  0.50000E+02    2       70    -4     3     T
       36  0.6810000E+03  0.50000E+02    2       72    -4     3     T
       37  0.7310000E+03  0.50000E+02    2       74    -4     3     T
       38  0.7810000E+03  0.50000E+02    2       76    -4     3     T
       39  0.8310000E+03  0.50000E+02    2       78    -4     3     T
       40  0.8810000E+03  0.50000E+02    2       80    -4     3     T
       41  0.9320000E+03  0.51000E+02    2       82    -4     3     T
       42  0.9820000E+03  0.50000E+02    2       84    -4     3     T
       43  0.1032000E+04  0.50000E+02    2       86    -4     3     T
       44  0.1082000E+04  0.50000E+02    2       88    -4     3     T
       45  0.1132000E+04  0.50000E+02    2       90    -4     3     T
       46  0.1232000E+04  0.10000E+03    2       92    -4     3     T
       47  0.1332000E+04  0.10000E+03    2       94    -4     3     T
       48  0.1432000E+04  0.10000E+03    2       96    -4     3     T
